tile_id,row,column,palette_index,palette_id,palette_name,sku,piece_type,piece_fraction,bounding_width_in,bounding_height_in,clipped_edges,vertices_in
placement-000000,1,1,1,P02,White,,edge_cut,0.092921114,0.390625000,0.318772160,left;top,0.390625000 0.000000000;0.390625000 0.093244711;0.000000000 0.318772160;0.000000000 0.000000000
placement-000001,1,2,1,P02,White,,edge_cut,0.274336385,1.000000000,0.381919846,top,1.453125000 0.000000000;1.453125000 0.093244711;0.953125000 0.381919846;0.453125000 0.093244711;0.453125000 0.000000000
placement-000002,1,3,1,P02,White,,edge_cut,0.274336385,1.000000000,0.381919846,top,2.515625000 0.000000000;2.515625000 0.093244711;2.015625000 0.381919846;1.515625000 0.093244711;1.515625000 0.000000000
placement-000003,1,4,1,P02,White,,edge_cut,0.274336385,1.000000000,0.381919846,top,3.578125000 0.000000000;3.578125000 0.093244711;3.078125000 0.381919846;2.578125000 0.093244711;2.578125000 0.000000000
placement-000004,1,5,1,P02,White,,edge_cut,0.274336385,1.000000000,0.381919846,top,4.640625000 0.000000000;4.640625000 0.093244711;4.140625000 0.381919846;3.640625000 0.093244711;3.640625000 0.000000000
placement-000005,1,6,1,P02,White,,edge_cut,0.274336385,1.000000000,0.381919846,top,5.703125000 0.000000000;5.703125000 0.093244711;5.203125000 0.381919846;4.703125000 0.093244711;4.703125000 0.000000000
placement-000006,1,7,1,P02,White,,edge_cut,0.274336385,1.000000000,0.381919846,top,6.765625000 0.000000000;6.765625000 0.093244711;6.265625000 0.381919846;5.765625000 0.093244711;5.765625000 0.000000000
placement-000007,1,8,1,P02,White,,edge_cut,0.274336385,1.000000000,0.381919846,top,7.828125000 0.000000000;7.828125000 0.093244711;7.328125000 0.381919846;6.828125000 0.093244711;6.828125000 0.000000000
placement-000008,1,9,1,P02,White,,edge_cut,0.274336385,1.000000000,0.381919846,top,8.890625000 0.000000000;8.890625000 0.093244711;8.390625000 0.381919846;7.890625000 0.093244711;7.890625000 0.000000000
placement-000009,1,10,1,P02,White,,edge_cut,0.274336385,1.000000000,0.381919846,top,9.953125000 0.000000000;9.953125000 0.093244711;9.453125000 0.381919846;8.953125000 0.093244711;8.953125000 0.000000000
placement-000010,1,11,1,P02,White,,edge_cut,0.274336385,1.000000000,0.381919846,top,11.015625000 0.000000000;11.015625000 0.093244711;10.515625000 0.381919846;10.015625000 0.093244711;10.015625000 0.000000000
placement-000011,1,12,1,P02,White,,edge_cut,0.274336385,1.000000000,0.381919846,top,12.078125000 0.000000000;12.078125000 0.093244711;11.578125000 0.381919846;11.078125000 0.093244711;11.078125000 0.000000000
placement-000012,1,13,1,P02,White,,edge_cut,0.274336385,1.000000000,0.381919846,top,13.140625000 0.000000000;13.140625000 0.093244711;12.640625000 0.381919846;12.140625000 0.093244711;12.140625000 0.000000000
placement-000013,1,14,1,P02,White,,edge_cut,0.274336385,1.000000000,0.381919846,top,14.203125000 0.000000000;14.203125000 0.093244711;13.703125000 0.381919846;13.203125000 0.093244711;13.203125000 0.000000000
placement-000014,1,15,1,P02,White,,edge_cut,0.274336385,1.000000000,0.381919846,top,15.265625000 0.000000000;15.265625000 0.093244711;14.765625000 0.381919846;14.265625000 0.093244711;14.265625000 0.000000000
placement-000015,1,16,1,P02,White,,edge_cut,0.274336385,1.000000000,0.381919846,top,16.328125000 0.000000000;16.328125000 0.093244711;15.828125000 0.381919846;15.328125000 0.093244711;15.328125000 0.000000000
placement-000016,1,17,1,P02,White,,edge_cut,0.274336385,1.000000000,0.381919846,top,17.390625000 0.000000000;17.390625000 0.093244711;16.890625000 0.381919846;16.390625000 0.093244711;16.390625000 0.000000000
placement-000017,1,18,1,P02,White,,edge_cut,0.274336385,1.000000000,0.381919846,top,18.453125000 0.000000000;18.453125000 0.093244711;17.953125000 0.381919846;17.453125000 0.093244711;17.453125000 0.000000000
placement-000018,1,19,1,P02,White,,edge_cut,0.274336385,1.000000000,0.381919846,top,19.515625000 0.000000000;19.515625000 0.093244711;19.015625000 0.381919846;18.515625000 0.093244711;18.515625000 0.000000000
placement-000019,1,20,1,P02,White,,edge_cut,0.274336385,1.000000000,0.381919846,top,20.578125000 0.000000000;20.578125000 0.093244711;20.078125000 0.381919846;19.578125000 0.093244711;19.578125000 0.000000000
placement-000020,1,21,1,P02,White,,edge_cut,0.274336385,1.000000000,0.381919846,top,21.640625000 0.000000000;21.640625000 0.093244711;21.140625000 0.381919846;20.640625000 0.093244711;20.640625000 0.000000000
placement-000021,1,22,1,P02,White,,edge_cut,0.274336385,1.000000000,0.381919846,top,22.703125000 0.000000000;22.703125000 0.093244711;22.203125000 0.381919846;21.703125000 0.093244711;21.703125000 0.000000000
placement-000022,1,23,1,P02,White,,edge_cut,0.274336385,1.000000000,0.381919846,top,23.765625000 0.000000000;23.765625000 0.093244711;23.265625000 0.381919846;22.765625000 0.093244711;22.765625000 0.000000000
placement-000023,1,24,1,P02,White,,edge_cut,0.274336385,1.000000000,0.381919846,top,24.828125000 0.000000000;24.828125000 0.093244711;24.328125000 0.381919846;23.828125000 0.093244711;23.828125000 0.000000000
placement-000024,1,25,1,P02,White,,edge_cut,0.274336385,1.000000000,0.381919846,top,25.890625000 0.000000000;25.890625000 0.093244711;25.390625000 0.381919846;24.890625000 0.093244711;24.890625000 0.000000000
placement-000025,1,26,1,P02,White,,edge_cut,0.274336385,1.000000000,0.381919846,top,26.953125000 0.000000000;26.953125000 0.093244711;26.453125000 0.381919846;25.953125000 0.093244711;25.953125000 0.000000000
placement-000026,1,27,1,P02,White,,edge_cut,0.274336385,1.000000000,0.381919846,top,28.015625000 0.000000000;28.015625000 0.093244711;27.515625000 0.381919846;27.015625000 0.093244711;27.015625000 0.000000000
placement-000027,1,28,1,P02,White,,edge_cut,0.274336385,1.000000000,0.381919846,top,29.078125000 0.000000000;29.078125000 0.093244711;28.578125000 0.381919846;28.078125000 0.093244711;28.078125000 0.000000000
placement-000028,1,29,1,P02,White,,edge_cut,0.274336385,1.000000000,0.381919846,top,30.140625000 0.000000000;30.140625000 0.093244711;29.640625000 0.381919846;29.140625000 0.093244711;29.140625000 0.000000000
placement-000029,1,30,1,P02,White,,edge_cut,0.274336385,1.000000000,0.381919846,top,31.203125000 0.000000000;31.203125000 0.093244711;30.703125000 0.381919846;30.203125000 0.093244711;30.203125000 0.000000000
placement-000030,1,31,1,P02,White,,edge_cut,0.274336385,1.000000000,0.381919846,top,32.265625000 0.000000000;32.265625000 0.093244711;31.765625000 0.381919846;31.265625000 0.093244711;31.265625000 0.000000000
placement-000031,1,32,1,P02,White,,edge_cut,0.274336385,1.000000000,0.381919846,top,33.328125000 0.000000000;33.328125000 0.093244711;32.828125000 0.381919846;32.328125000 0.093244711;32.328125000 0.000000000
placement-000032,1,33,1,P02,White,,edge_cut,0.274336385,1.000000000,0.381919846,top,34.390625000 0.000000000;34.390625000 0.093244711;33.890625000 0.381919846;33.390625000 0.093244711;33.390625000 0.000000000
placement-000033,1,34,1,P02,White,,edge_cut,0.274336385,1.000000000,0.381919846,top,35.453125000 0.000000000;35.453125000 0.093244711;34.953125000 0.381919846;34.453125000 0.093244711;34.453125000 0.000000000
