row,sequence,column,tile_id,palette_id,abbreviation,palette_name,sku,piece_type,piece_fraction
1,1,1,placement-000000,P02,W,White,,edge_cut,0.092921
1,2,2,placement-000001,P02,W,White,,edge_cut,0.274336
1,3,3,placement-000002,P02,W,White,,edge_cut,0.274336
1,4,4,placement-000003,P02,W,White,,edge_cut,0.274336
1,5,5,placement-000004,P02,W,White,,edge_cut,0.274336
1,6,6,placement-000005,P02,W,White,,edge_cut,0.274336
1,7,7,placement-000006,P02,W,White,,edge_cut,0.274336
1,8,8,placement-000007,P02,W,White,,edge_cut,0.274336
1,9,9,placement-000008,P02,W,White,,edge_cut,0.274336
1,10,10,placement-000009,P02,W,White,,edge_cut,0.274336
1,11,11,placement-000010,P02,W,White,,edge_cut,0.274336
1,12,12,placement-000011,P02,W,White,,edge_cut,0.274336
1,13,13,placement-000012,P02,W,White,,edge_cut,0.274336
1,14,14,placement-000013,P02,W,White,,edge_cut,0.274336
1,15,15,placement-000014,P02,W,White,,edge_cut,0.274336
1,16,16,placement-000015,P02,W,White,,edge_cut,0.274336
1,17,17,placement-000016,P02,W,White,,edge_cut,0.274336
1,18,18,placement-000017,P02,W,White,,edge_cut,0.274336
1,19,19,placement-000018,P02,W,White,,edge_cut,0.274336
1,20,20,placement-000019,P02,W,White,,edge_cut,0.274336
1,21,21,placement-000020,P02,W,White,,edge_cut,0.274336
1,22,22,placement-000021,P02,W,White,,edge_cut,0.274336
1,23,23,placement-000022,P02,W,White,,edge_cut,0.274336
1,24,24,placement-000023,P02,W,White,,edge_cut,0.274336
1,25,25,placement-000024,P02,W,White,,edge_cut,0.274336
1,26,26,placement-000025,P02,W,White,,edge_cut,0.274336
1,27,27,placement-000026,P02,W,White,,edge_cut,0.274336
1,28,28,placement-000027,P02,W,White,,edge_cut,0.274336
1,29,29,placement-000028,P02,W,White,,edge_cut,0.274336
1,30,30,placement-000029,P02,W,White,,edge_cut,0.274336
1,31,31,placement-000030,P02,W,White,,edge_cut,0.274336
1,32,32,placement-000031,P02,W,White,,edge_cut,0.274336
1,33,33,placement-000032,P02,W,White,,edge_cut,0.274336
