row/col,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
1,White,White,White,White,White,White,White,White,White,White,White,White,White,White,White,White,White,White,White,White,White,White,White,White,White,White,White,White,White,White,White,White,White,White,White,White,White,White,White,White,White,White,White,White
2,White,White,White,White,White,White,White,White,White,White,White,Black,Black,Black,Black,Black,Black,Black,Black,Black,Black,White,White,White,White,White,White,White,White,White,White,White,White,White,White,White,White,White,White,White,White,White,White,White
3,White,White,White,White,White,White,White,White,White,White,White,Black,Black,Black,Black,Black,Black,Black,Black,Black,Black,Black,White,White,White,White,White,White,White,White,White,White,White,White,White,White,White,White,White,White,White,White,White,White
4,White,White,White,White,White,White,White,White,White,White,Black,Black,Black,White,Black,Black,Black,Black,Black,Black,Black,Black,White,White,White,White,White,White,Black,Black,Black,Black,Black,Black,White,White,White,White,White,White,White,White,White,White
5,White,White,White,White,White,White,White,White,White,White,Black,Black,White,White,White,Black,Black,Black,Black,Black,Black,Black,Black,White,White,White,White,White,Black,Black,Black,Black,Black,Black,Black,White,White,White,White,White,White,White,White,White
6,White,White,White,White,White,White,White,White,White,Black,Black,White,White,White,White,Black,Black,Black,Black,Black,Black,Black,Black,Black,White,White,White,Black,Black,Black,Black,Black,Black,Black,Black,White,White,White,White,White,White,White,White,White
7,White,White,White,White,White,White,White,White,Black,Black,Black,White,White,White,White,White,Black,Black,Black,Black,Black,Black,Black,Black,Black,White,Black,Black,Black,White,White,Black,Black,Black,Black,Black,White,White,White,White,White,White,White,White
8,White,White,White,White,White,White,White,Black,Black,Black,White,White,White,White,White,White,Black,Black,Black,Black,Black,Black,Black,Black,Black,Black,Black,Black,White,White,White,Black,Black,Black,Black,Black,White,White,White,White,White,White,White,White
9,White,White,White,White,White,White,White,Black,Black,Black,White,White,White,White,White,White,White,Black,Black,Black,Black,Black,Black,Black,Black,Black,Black,Black,White,White,White,White,Black,Black,Black,Black,Black,White,White,White,White,White,White,White
10,White,White,White,White,White,White,Black,Black,Black,White,White,White,White,White,White,White,White,White,Black,Black,Black,Black,Black,Black,Black,Black,Black,White,White,White,White,White,Black,Black,Black,Black,Black,Black,White,White,White,White,White,White
11,White,White,White,White,White,White,Black,Black,White,White,White,White,White,White,White,White,White,White,White,Black,Black,Black,Black,Black,Black,Black,Black,White,White,White,White,White,White,Black,Black,Black,Black,Black,Black,White,White,White,White,White
12,White,White,White,White,White,Black,Black,White,White,White,White,White,White,White,White,White,White,White,White,Black,Black,Black,Black,Black,Black,Black,Black,Black,White,White,White,White,White,Black,Black,Black,Black,Black,Black,White,White,White,White,White
13,White,White,White,White,Black,Black,Black,White,White,White,White,White,White,White,White,White,White,White,White,White,Black,Black,Black,Black,Black,Black,Black,Black,Black,White,White,White,White,White,White,Black,Black,Black,Black,Black,White,White,White,White
14,White,White,White,Black,Black,Black,White,White,White,White,White,White,White,White,White,White,White,White,White,White,Black,Black,Black,Black,Black,Black,Black,Black,Black,White,White,White,White,White,White,Black,Black,Black,Black,Black,White,White,White,White
15,White,White,White,Black,Black,Black,White,White,White,White,White,White,White,White,White,White,White,White,White,White,White,White,Black,Black,Black,Black,Black,Black,Black,Black,White,White,White,White,White,White,Black,Black,Black,Black,Black,Black,White,White
16,White,White,Black,Black,White,White,White,White,White,White,White,White,White,White,White,White,White,White,White,White,White,White,Black,Black,Black,Black,Black,Black,Black,Black,White,White,White,White,White,White,Black,Black,Black,Black,Black,Black,White,White
17,White,White,Black,Black,White,White,White,White,White,White,White,White,White,White,White,White,White,White,White,White,White,White,White,Black,Black,Black,Black,Black,Black,Black,Black,White,White,White,White,White,White,Black,Black,Black,Black,Black,Black,White
18,White,Black,Black,White,White,White,White,White,White,White,White,White,White,White,White,White,White,White,White,White,White,White,White,Black,Black,Black,Black,Black,Black,Black,Black,White,White,White,White,White,White,Black,Black,Black,Black,Black,Black,White
19,White,White,White,White,White,White,White,White,White,White,White,White,White,White,White,White,White,White,White,White,White,White,White,White,White,White,White,White,White,White,White,White,White,White,White,White,White,White,White,White,White,White,White,White
