row,column,piece_type,piece_fraction,center_x_in,center_y_in,visible_x_in,visible_y_in,color,sku
1,1,edge_cut,0.092921,-0.109375,-0.195430,0.159676,0.113292,White,
1,2,edge_cut,0.274336,0.953125,-0.195430,0.953125,0.133406,White,
1,3,edge_cut,0.274336,2.015625,-0.195430,2.015625,0.133406,White,
1,4,edge_cut,0.274336,3.078125,-0.195430,3.078125,0.133406,White,
1,5,edge_cut,0.274336,4.140625,-0.195430,4.140625,0.133406,White,
1,6,edge_cut,0.274336,5.203125,-0.195430,5.203125,0.133406,White,
1,7,edge_cut,0.274336,6.265625,-0.195430,6.265625,0.133406,White,
1,8,edge_cut,0.274336,7.328125,-0.195430,7.328125,0.133406,White,
1,9,edge_cut,0.274336,8.390625,-0.195430,8.390625,0.133406,White,
1,10,edge_cut,0.274336,9.453125,-0.195430,9.453125,0.133406,White,
1,11,edge_cut,0.274336,10.515625,-0.195430,10.515625,0.133406,White,
1,12,edge_cut,0.274336,11.578125,-0.195430,11.578125,0.133406,White,
1,13,edge_cut,0.274336,12.640625,-0.195430,12.640625,0.133406,White,
1,14,edge_cut,0.274336,13.703125,-0.195430,13.703125,0.133406,White,
1,15,edge_cut,0.274336,14.765625,-0.195430,14.765625,0.133406,White,
1,16,edge_cut,0.274336,15.828125,-0.195430,15.828125,0.133406,White,
1,17,edge_cut,0.274336,16.890625,-0.195430,16.890625,0.133406,White,
1,18,edge_cut,0.274336,17.953125,-0.195430,17.953125,0.133406,White,
1,19,edge_cut,0.274336,19.015625,-0.195430,19.015625,0.133406,White,
1,20,edge_cut,0.274336,20.078125,-0.195430,20.078125,0.133406,White,
1,21,edge_cut,0.274336,21.140625,-0.195430,21.140625,0.133406,White,
1,22,edge_cut,0.274336,22.203125,-0.195430,22.203125,0.133406,White,
1,23,edge_cut,0.274336,23.265625,-0.195430,23.265625,0.133406,White,
1,24,edge_cut,0.274336,24.328125,-0.195430,24.328125,0.133406,White,
1,25,edge_cut,0.274336,25.390625,-0.195430,25.390625,0.133406,White,
