tile_id,row,column,part_filename,geometry_hash,palette_index,palette_id,palette_name,sku,piece_type
placement-000000,1,1,cut_ca5883b6348abde2.stl,ca5883b6348abde2136e2e67173488bd13433e47e9de6a683f52a4e700625584,1,P02,White,,edge_cut
placement-000001,1,2,cut_7c75c61b64a34abb.stl,7c75c61b64a34abbeab2121d998db7bf929c4b7ca722c051a3671076a7dc020b,1,P02,White,,edge_cut
placement-000002,1,3,cut_7c75c61b64a34abb.stl,7c75c61b64a34abbeab2121d998db7bf929c4b7ca722c051a3671076a7dc020b,1,P02,White,,edge_cut
placement-000003,1,4,cut_7c75c61b64a34abb.stl,7c75c61b64a34abbeab2121d998db7bf929c4b7ca722c051a3671076a7dc020b,1,P02,White,,edge_cut
placement-000004,1,5,cut_7c75c61b64a34abb.stl,7c75c61b64a34abbeab2121d998db7bf929c4b7ca722c051a3671076a7dc020b,1,P02,White,,edge_cut
placement-000005,1,6,cut_7c75c61b64a34abb.stl,7c75c61b64a34abbeab2121d998db7bf929c4b7ca722c051a3671076a7dc020b,1,P02,White,,edge_cut
placement-000006,1,7,cut_7c75c61b64a34abb.stl,7c75c61b64a34abbeab2121d998db7bf929c4b7ca722c051a3671076a7dc020b,1,P02,White,,edge_cut
placement-000007,1,8,cut_7c75c61b64a34abb.stl,7c75c61b64a34abbeab2121d998db7bf929c4b7ca722c051a3671076a7dc020b,1,P02,White,,edge_cut
placement-000008,1,9,cut_7c75c61b64a34abb.stl,7c75c61b64a34abbeab2121d998db7bf929c4b7ca722c051a3671076a7dc020b,1,P02,White,,edge_cut
placement-000009,1,10,cut_7c75c61b64a34abb.stl,7c75c61b64a34abbeab2121d998db7bf929c4b7ca722c051a3671076a7dc020b,1,P02,White,,edge_cut
placement-000010,1,11,cut_7c75c61b64a34abb.stl,7c75c61b64a34abbeab2121d998db7bf929c4b7ca722c051a3671076a7dc020b,1,P02,White,,edge_cut
placement-000011,1,12,cut_7c75c61b64a34abb.stl,7c75c61b64a34abbeab2121d998db7bf929c4b7ca722c051a3671076a7dc020b,1,P02,White,,edge_cut
placement-000012,1,13,cut_7c75c61b64a34abb.stl,7c75c61b64a34abbeab2121d998db7bf929c4b7ca722c051a3671076a7dc020b,1,P02,White,,edge_cut
placement-000013,1,14,cut_7c75c61b64a34abb.stl,7c75c61b64a34abbeab2121d998db7bf929c4b7ca722c051a3671076a7dc020b,1,P02,White,,edge_cut
placement-000014,1,15,cut_7c75c61b64a34abb.stl,7c75c61b64a34abbeab2121d998db7bf929c4b7ca722c051a3671076a7dc020b,1,P02,White,,edge_cut
placement-000015,1,16,cut_7c75c61b64a34abb.stl,7c75c61b64a34abbeab2121d998db7bf929c4b7ca722c051a3671076a7dc020b,1,P02,White,,edge_cut
placement-000016,1,17,cut_7c75c61b64a34abb.stl,7c75c61b64a34abbeab2121d998db7bf929c4b7ca722c051a3671076a7dc020b,1,P02,White,,edge_cut
placement-000017,1,18,cut_7c75c61b64a34abb.stl,7c75c61b64a34abbeab2121d998db7bf929c4b7ca722c051a3671076a7dc020b,1,P02,White,,edge_cut
placement-000018,1,19,cut_7c75c61b64a34abb.stl,7c75c61b64a34abbeab2121d998db7bf929c4b7ca722c051a3671076a7dc020b,1,P02,White,,edge_cut
placement-000019,1,20,cut_7c75c61b64a34abb.stl,7c75c61b64a34abbeab2121d998db7bf929c4b7ca722c051a3671076a7dc020b,1,P02,White,,edge_cut
